Produto1,Regiao,UF,Textbox76,Textbox77,Textbox78,Textbox79,Textbox80,Textbox81,Textbox82,Textbox83,Textbox84,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox31,Textbox32,Textbox33,Textbox34,Textbox35,Textbox36,Textbox38,Textbox40,Textbox41,Textbox44,Textbox46,Textbox47,Textbox48,Textbox49,Textbox74,Textbox75,Textbox90,Textbox91,Textbox92,Textbox93,Textbox94,Textbox95,Textbox96,Textbox97,Textbox98,Textbox99,Textbox100,Textbox101,Textbox57,Textbox58,Textbox59,Textbox60,Textbox61,Textbox62,Textbox63,Textbox64,Textbox65,Textbox66,Textbox67,Textbox68,Textbox69,Textbox70
SOJA,SUL,RS,"4.351.861,9",195.954,"7.224.951.799,61","214.397.955,01","59.202,3",1.965,"91.081.880,74","39.984,0",1.463,"63.702.827,26","35.957.270,13","0,0",0,"0,00","7.207.507,0",341.814,"12.894.290.215,98","380.735.093,01","210.616,7",8.228,"380.554.434,01","154.124,5",6.226,"283.745.638,96","167.695.301,14","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,SUL,PR,"2.504.441,9",124.284,"4.987.366.724,02","146.297.646,83","143.016,3",5.806,"274.250.703,44","109.825,8",4.511,"211.944.934,37","128.152.325,83","0,0",0,"0,00","7.207.507,0",341.814,"12.894.290.215,98","380.735.093,01","210.616,7",8.228,"380.554.434,01","154.124,5",6.226,"283.745.638,96","167.695.301,14","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,SUL,SC,"351.203,3",21.576,"681.971.692,35","20.039.491,17","8.398,1",457,"15.221.849,83","4.314,7",252,"8.097.877,33","3.585.705,18","0,0",0,"0,00","7.207.507,0",341.814,"12.894.290.215,98","380.735.093,01","210.616,7",8.228,"380.554.434,01","154.124,5",6.226,"283.745.638,96","167.695.301,14","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,CENTRO-OESTE,MS,"248.820,7",5.012,"394.319.542,81","12.748.321,35","26.002,8",456,"40.547.096,29","21.188,7",380,"33.529.832,71","18.848.898,73","0,0",0,"0,00","426.099,7",8.218,"683.923.761,98","21.004.233,35","32.679,4",579,"51.058.087,28","24.543,9",448,"38.832.021,60","21.511.034,68","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,CENTRO-OESTE,MT,"101.087,7",1.483,"157.536.431,11","4.521.442,98","2.533,3",34,"4.280.426,86","1.186,8",18,"2.058.015,00","1.120.585,90","0,0",0,"0,00","426.099,7",8.218,"683.923.761,98","21.004.233,35","32.679,4",579,"51.058.087,28","24.543,9",448,"38.832.021,60","21.511.034,68","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,CENTRO-OESTE,GO,"75.657,0",1.705,"131.291.879,77","3.711.173,69","4.143,3",89,"6.230.564,13","2.168,4",50,"3.244.173,89","1.541.550,05","0,0",0,"0,00","426.099,7",8.218,"683.923.761,98","21.004.233,35","32.679,4",579,"51.058.087,28","24.543,9",448,"38.832.021,60","21.511.034,68","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,CENTRO-OESTE,DF,"534,3",18,"775.908,29","23.295,33","0,0",0,"0,00","0,0",0,"0,00","0,00","0,0",0,"0,00","426.099,7",8.218,"683.923.761,98","21.004.233,35","32.679,4",579,"51.058.087,28","24.543,9",448,"38.832.021,60","21.511.034,68","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,SUDESTE,SP,"75.839,0",2.729,"132.051.590,62","3.801.592,15","3.610,2",88,"5.472.970,34","1.657,6",43,"2.572.692,42","1.021.542,65","0,0",0,"0,00","112.272,4",3.526,"197.832.561,06","5.745.332,45","5.142,5",121,"7.952.965,49","2.678,2",61,"4.192.007,16","1.661.061,08","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,SUDESTE,MG,"36.433,4",797,"65.780.970,44","1.943.740,30","1.532,3",33,"2.479.995,15","1.020,5",18,"1.619.314,74","639.518,43","0,0",0,"0,00","112.272,4",3.526,"197.832.561,06","5.745.332,45","5.142,5",121,"7.952.965,49","2.678,2",61,"4.192.007,16","1.661.061,08","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
SOJA,NORTE,TO,"23.018,9",243,"36.165.068,48","1.178.397,24","2.564,6",27,"4.023.517,16","1.862,8",20,"2.967.164,31","1.585.750,00","0,0",0,"0,00","49.525,4",638,"81.573.527,59","2.655.294,14","3.125,3",31,"5.049.554,91","1.982,8",21,"3.258.280,71","1.696.977,30","0,0",0,"0,00","7.826.220,0",354.424,"13.904.295.972,65","411.748.857,21","258.491,2",9.003,"455.382.752,88","188.774,1",6.791,"338.508.631,28","196.975.585,97","0,0",0,"0,00","19.224.526,7",1.225.823,"38.957.710.018,94","1.122.713.373,24","3.223.715,6",136.238,"5.076.487.279,43","2.879.041,9",122.452,"4.475.339.538,92","2.788.303.122,68","0,0",0,"0,00"
